Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
台大醫院,5559.644120247568,16343.572369584439,1460.5461538461539,5177.057692307692
台北101/世貿,4533.17238432066,16137.817668729738,1037.65,5717.05
台北小巨蛋,3901.994341290893,14603.741202475685,909.1961538461538,5068.015384615384
台北車站,46882.387297376954,52336.92515473033,11410.280769230769,12077.734615384616
台北橋,5063.617270851753,1608.4676245210728,1659.0153846153846,313.61538461538464
台電大樓,5936.078676687297,5802.113763631005,1723.3076923076924,1647.123076923077
市政府,10459.414456233422,30299.107323902153,2390.4846153846156,9945.457692307693
民權西路,6775.832301797819,11533.117123489537,1547.303846153846,4022.142307692308
永安市場,16253.582463896257,4302.76201002063,5907.338461538461,822.0461538461539
永春,7671.297362216328,7166.909711170056,2398.903846153846,1860.7038461538461
永寧,6523.576097848511,3369.136958443855,2004.826923076923,838.4615384615385
石牌,12616.865679339817,12092.51724137931,3425.4,2743.773076923077
先嗇宮,1344.6111405835545,2607.303566165635,426.8692307692308,1233.3538461538462
江子翠,15085.527836722664,5024.077394636015,5236.215384615384,1363.3153846153846
竹圍,5119.7914824638965,2258.6178750368404,1453.2807692307692,441.0346153846154
行天宮,6459.944193928676,15819.821264367816,1443.6615384615384,6372.469230769231
西門,19155.40097259063,20424.261685823756,4165.238461538462,5457.6
西湖,2964.0763041556143,12380.36850869437,852.2923076923076,5654.65
辛亥,2128.1959917477157,487.2072944297082,820.5192307692307,129.25
亞東醫院,12780.806292366638,5808.140539345712,4262.488461538462,1429.1846153846154
奇岩,4739.4301797819035,3312.3173445328616,1526.0192307692307,1277.8961538461538
府中,16158.97978190392,4832.9889478337755,5420.761538461538,977.6461538461539
忠孝復興,7287.169053934571,19070.920689655173,1607.1038461538462,3903.3384615384616
忠孝敦化,5157.757928087239,16995.81650456823,1089.6384615384616,5375.880769230769
忠孝新生,6347.262260536399,14715.648526377836,1456.7846153846153,4890.065384615385
忠義,1130.9152961980549,1505.6997936928972,279.9769230769231,538.9115384615385
昆陽,5192.87536103743,6754.306233421751,1463.15,2862.1846153846154
明德,6367.757795461244,4337.740362511052,1877.9692307692308,1435.123076923077
東門,6260.182950191571,10602.463866784556,1462.196153846154,2760.1615384615384
東湖,4798.076024167403,1735.021706454465,1793.0384615384614,698.9
