Stations index1 index2 index3
景平 1458.1946564885495 1.551410350443182 1.890161485028992
景安 16613.003816793895 5.349837805650664 3.7659867724318374
景美 7458.9312977099235 2.1264275849593512 1.5585654345622477
港墘 3834.874045801527 0.26795528333376795 0.36993357493925794
菜寮 6026.32824427481 3.853516340049873 2.744716210343329
象山 3975.977099236641 0.45146259243884396 0.549019917866208
圓山 10537.553435114503 1.0959395039715663 1.1253806686561372
新北投 1564.0992366412213 0.939551777861772 0.902564351049373
新北產業園區 941.912213740458 0.4435833937004779 0.5154802189079667
新店 7428.316793893129 4.1155418415506 2.8073557136819387
新店區公所 6737.015267175572 3.7862022191807605 2.8241387255121566
新埔 22912.27099236641 4.607441352403458 2.954495566545134
新埔民生 872.0801526717557 2.537130592702658 1.7864905861012073
新莊 6405.1106870229005 3.8140625464932896 3.1027349137851337
