Stations,index1,index2,index3,index4
後山埤,7933.846743295019,2.36779108507094,1.7055936821504936,0.6303953521930287
科技大樓,5282.9808429118775,0.8030065207057072,0.8233241478553451,0.4515511675879281
紅樹林,4357.651340996169,2.1991141943575085,2.1202072210457246,0.6795084655740095
徐匯中學,7718.080459770115,8.281633927177863,4.356037392716509,0.8132948060893178
海山,14018.90038314176,4.7639882587014,3.833960986977496,0.7931303122441491
迴龍,6778.168582375479,5.144843495710156,3.531282685935566,0.7793119367494213
動物園,2217.0842911877394,1.124099745840916,0.6264102536345627,0.38514898208168236
唭哩岸,4459.977011494253,2.8218435609013626,2.341331842245,0.7007181425810995
國父紀念館,4558.681992337165,0.2880612474044147,0.3913335486548872,0.28126508487718166
淡水,17108.735632183907,2.62497668345458,1.7320268536346588,0.6339713869687588
頂埔,4627.272030651341,1.76700272445354,1.7833834904002623,0.6407250371898283
頂溪,21729.6245210728,6.522275163987397,3.326280895957097,0.7688545834056919
善導寺,4522.919540229886,0.23242557383509016,0.3273662381398991,0.24662842004980695
復興崗,2191.0344827586205,2.3650010749832426,2.4624831524055995,0.7111899304678959
景安,16579.383141762453,4.952258733553697,3.648536485626236,0.7848785304596178
景美,7750.869731800766,2.2213337614698117,1.572891073527857,0.6113321662588554
港墘,4064.965517241379,0.2834837344777947,0.3963452538209117,0.28384473878245087
菜寮,5999.111111111111,3.8037127016756993,2.7180688089240856,0.7310431701533316
象山,4139.574712643678,0.5504522435404302,0.6853752684113537,0.4066603333140121
圓山,11110.76245210728,1.0616192406296892,1.0859833719493677,0.5206097932288443
新北投,1771.6858237547892,0.9414294436726279,0.8203355071281072,0.4506507201094636
新店,7295.24521072797,3.795328155294719,2.592365828122213,0.7216319139404809
新店區公所,6709.92337164751,4.058664080043584,2.9096947735515823,0.744225557768645
新埔,23946.214559386972,4.155288837766233,2.7960482873764585,0.7365681560676025
新莊,6512.214559386974,3.8224062680140705,3.0530337458080443,0.7532712376169391
萬芳社區,1777.2183908045977,6.16994633273703,4.98125,0.8328108672936259
萬芳醫院,7350.908045977011,2.3452217728114073,1.6005724592220827,0.6154692800603091
萬隆,5856.371647509579,4.777813055626112,3.122179644828277,0.7574098932697878
葫洲,4474.260536398468,2.3090017751966236,1.9846534535677747,0.6649527271567737
輔大,4064.8582375478927,1.1221069906771197,0.8927574867129148,0.4716702974258658
劍南路,2878.229885057471,0.6974384964509287,0.6280189036517354,0.38575651808652506
劍潭,9866.735632183909,0.7599836472594204,0.8555018563649265,0.4610622476233582
頭前庄,2705.942528735632,2.5602901439221175,2.0566304214885176,0.6728423583793882
龍山寺,13977.8122605364,2.3398251729018,1.6769319235899733,0.6264380161528641
雙連,6425.432950191571,0.33220022282508227,0.5272117793481648,0.34521196501849016
關渡,4686.586206896552,0.591585243705727,0.7697887861971572,0.4349608225573882
蘆洲,10120.55938697318,11.729650268787443,6.5847503047496065,0.8681565035339667
麟光,2667.287356321839,5.014267912772587,3.267507134274557,0.7656711591719478
